code,title,credits,description,prerequisites
CEE 6244,Random Fields and Geostatistics,3,Probability density function; moments; scales of fluctuations; spectral representation; simulation of random fields; cross-correlated random fields; vector fields; kriging; conditional simulation.,Graduate standing required
CEE 6251,Intermediate Fluid Mechanics,3,"Concepts of linear and angular deformation, vorticity, and conservation of mass.  Development of Navier-Stokes with solutions: steady and unsteady uniform laminar, vortex, creeping, and potential flow.",Graduate standing required
CEE 6252,Advanced Fluid Mechanics,3,"Theory of three-dimensional turbulent boundary layers with application to environmental flows in rivers, estuaries, and the atmosphere of interest in water resources engineering.",Graduate standing required
CEE 6261,Environmental Fluid Mechanics,3,"Dynamics, mixing, and contaminant transport in surface water bodies, including lakes, rivers, estuaries, and coastal waters.  Introduction to numerical models.  Prediction of mixing zones.",Graduate standing required
CEE 6262,Advanced Environmental Fluid Mechanics,3,Buoyancy modifications to the mixing and dynamics of pollutant discharges and surface water bodies.  Gathering and analysis of laboratory and field data for mixing problems.,Graduate standing required
CEE 6271,Flow and Transport through Porous Media I,3,"Basic principles governing ground water flow.  Topics covered: fundamental principles of saturated and unsaturated ground water flow, contaminant transport, and salt water intrusion.",Graduate standing required
CEE 6281,Open Channel Hydraulics,3,"Flow of liquids with free surfaces in artificial and natural channels.  Analysis of flow resistance. Computation of gradually varied flow profiles.  Flow through transitions, spillways, bridges, culverts. Analysis of unsteady flow.",Graduate standing required
CEE 6282,Sediment Transport,3,Engineering importance of erosion and sedimentation problems.  Topics: properties of non-cohesive/cohesive sediments including specific weight/gravity/shape/size/ size distribution/fall velocity/mineral structure/ rheological properties.,Graduate standing required
CEE 6284,Hydraulic Transients in Fluid Systems,3,Transient flow of liquids in piping systems. One-dimensional wave equations and method of characteristics. Effects of valves and pumps on water hammer. Cavitation and liquid-column separation.,Graduate standing required
CEE 6293,Hydrodynamic Stability and Turbulence,3,"Flow in stability and turbulence are important in virtually all environmental flows. Fundamental stability, transition, and turbulent concepts along with their engineering relevance will be introduced.",Graduate standing required
CEE 6310,Process Principles in Environmental Engineering,3,"Principles that can be used in the analysis and modeling of environmental engineering processes, including material and energy balances, mass transfer, and reaction engineering.",Graduate standing required
CEE 6311,Microbial Principles in Environmental Engineering,3,"Microbiological principles with emphasis on microbial nutrition and growth, inhibition and control of growth, biochemical thermodynamics, metabolic pathways, enzyme and microbial kinetics.",Graduate standing required
CEE 6312,Chemical Principles in Environmental Engineering,3,Fundamental principles of chemical equilibria and environmental organic chemistry in dilute aqueous systems with emphasis on chemical speciation and environmental engineering applications.,Graduate standing required
